id,speed,jamf,time
36283,92.0,0.30125,2019-11-09 06:45
36283,91.0,0.38493,2019-11-09 06:46
36283,91.0,0.38493,2019-11-09 06:47
36283,91.0,0.38493,2019-11-09 06:48
36283,91.0,0.38493,2019-11-09 06:49
36283,91.0,0.38493,2019-11-09 06:50
36283,91.0,0.38493,2019-11-09 06:51
36283,91.0,0.38493,2019-11-09 06:52
36283,91.0,0.38493,2019-11-09 06:53
36283,91.0,0.38493,2019-11-09 06:54
36283,91.0,0.38493,2019-11-09 06:55
36283,91.0,0.38493,2019-11-09 06:56
36283,91.0,0.38493,2019-11-09 06:57
36283,91.0,0.38493,2019-11-09 06:58
36283,91.0,0.38493,2019-11-09 06:59
36283,91.0,0.38493,2019-11-09 07:00
36283,90.0,0.46861,2019-11-09 07:01
36283,90.0,0.46861,2019-11-09 07:02
36283,90.0,0.46861,2019-11-09 07:03
36283,90.0,0.46861,2019-11-09 07:04
36283,90.0,0.46861,2019-11-09 07:05
36283,90.0,0.46861,2019-11-09 07:06
36283,90.0,0.46861,2019-11-09 07:07
36283,90.0,0.46861,2019-11-09 07:08
36283,90.0,0.46861,2019-11-09 07:09
36283,90.0,0.46861,2019-11-09 07:10
36283,90.0,0.46861,2019-11-09 07:11
36283,90.0,0.46861,2019-11-09 07:12
36283,90.0,0.46861,2019-11-09 07:13
36283,90.0,0.46861,2019-11-09 07:14
36283,90.0,0.46861,2019-11-09 07:15
36283,89.0,0.5523,2019-11-09 07:16
36283,89.0,0.5523,2019-11-09 07:17
36283,89.0,0.5523,2019-11-09 07:18
36283,89.0,0.5523,2019-11-09 07:19
36283,89.0,0.5523,2019-11-09 07:20
36283,89.0,0.5523,2019-11-09 07:21
36283,89.0,0.5523,2019-11-09 07:22
36283,89.0,0.5523,2019-11-09 07:23
36283,89.0,0.5523,2019-11-09 07:24
36283,89.0,0.5523,2019-11-09 07:25
36283,89.0,0.5523,2019-11-09 07:26
36283,89.0,0.5523,2019-11-09 07:27
36283,89.0,0.5523,2019-11-09 07:28
36283,89.0,0.5523,2019-11-09 07:29
36283,89.0,0.5523,2019-11-09 07:30
36283,87.0,0.71966,2019-11-09 07:31
36283,87.0,0.71966,2019-11-09 07:32
36283,87.0,0.71966,2019-11-09 07:33
36283,87.0,0.71966,2019-11-09 07:34
36283,87.0,0.71966,2019-11-09 07:35
36283,87.0,0.71966,2019-11-09 07:36
36283,87.0,0.71966,2019-11-09 07:37
36283,87.0,0.71966,2019-11-09 07:38
36283,87.0,0.71966,2019-11-09 07:39
36283,87.0,0.71966,2019-11-09 07:40
36283,87.0,0.71966,2019-11-09 07:41
36283,87.0,0.71966,2019-11-09 07:42
36283,87.0,0.71966,2019-11-09 07:43
36283,87.0,0.71966,2019-11-09 07:44
36283,87.0,0.71966,2019-11-09 07:45
36283,84.0,0.97071,2019-11-09 07:46
36283,84.0,0.97071,2019-11-09 07:47
36283,84.0,0.97071,2019-11-09 07:48
36283,84.0,0.97071,2019-11-09 07:49
36283,84.0,0.97071,2019-11-09 07:50
